"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"5733","Normal/Others","WS/	 MP578/2024-2025/156641-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","navi vasahat faliya ma bore motor nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","28-May-2025","149672"
"5734","Normal/Others","WS/	 MP578/2024-2025/156640-Installing tube-wells and borewells","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","tekra faliya ma bore moter nu kaam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","28-May-2025","149205"
"5735","Normal/Others","WS/MP18167/2024-2025/174572-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","Construction of tin shed and interlock pathway in shamshan ghat of peethola. Working agency Peethola panchayat.","BRIJENDRA SINGH OLA","JHUNJHUNU","N/A","13-Feb-2026","499714"
"5736","Normal/Others","WS/MP18160/2024-2025/165007-Construction of rooms and halls in school and colleges","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","CLASS ROOM AND SMART CLASS BOARD WITH INVERTER GSSS SAGRANIYON KI BERI","UMMEDA RAM BENIWAL","BARMER","Images","01-Dec-2025","999548"
"5737","Normal/Others","WS/MP18257/2024-2025/155214-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Construction of a concrete road from the house of Anil Manna to the house of Shashanka Manna (Hanumanji Mandir) at mouza- Dakshin Usutpur, J.L. No. 60, Plot No. 524, 466 under Raghunathpur-II G.P.","ABHIJIT GANGOPADHYAY","TAMLUK","N/A","11-Sep-2025","228462"
"5738","Normal/Others","WS/MP18089/2024-2025/162919-Purchase of immovable sports equipment","Karnataka","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","Supply of sports and other materials to Youth Empowerment and Sports Department of Koppal District.","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","Images","26-Dec-2025","498816"
"5739","Normal/Others","WS/MP18093/2025-2026/181082-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Construction of CC road from Shri Jodi Basaveshwara Temple to Government Primary School at N.Mathighatta, Nittur Hobli, Gubbi Taluk, Tumakuru","V. SOMANNA","TUMKUR","Images","01-Jan-2026","2500000"
"5740","Normal/Others","WS/MP859/2024-2025/156675-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF ROAD FROM HOUSE OF PANKAJ GAYEN TO HOUSE OF PURNIMA PATRA UNDER RAGHUNATHPUR GRAM PANCHAYAT WITHIN SERAMPORE-UTTARPARA DEV. BLOCK.","Kalyan Banerjee","SREERAMPUR","Images","17-Apr-2025","633003"
"5741","Normal/Others","WS/MP18100/2025-2026/180533-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Ward No 02 Banka Mukasa","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","499930"
"5742","Normal/Others","WS/MP18100/2025-2026/180534-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Chimauwa","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","50000"
"5743","Normal/Others","WS/MP18100/2025-2026/180535-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Tendni Mal","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","50000"
"5744","Normal/Others","WS/MP18100/2025-2026/180536-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Berban at Tendni Mal","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","100000"
"5745","Normal/Others","WS/MP18100/2025-2026/179808-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rungmanch At Madai tola","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","150000"
"5746","Normal/Others","WS/MP18100/2025-2026/180537-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Mandangarh","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","50000"
"5747","Normal/Others","WS/MP18100/2025-2026/180538-Construction of buildings for community cultural activities","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of Rung Manch Nagduari Chouk Singodi","BUNTY VIVEK SAHU","CHHINDWARA","N/A","24-Jan-2026","50000"
"5748","Normal/Others","WS/MP18371/2024-2025/177739-Purchase of ambulances (Four, three and two wheelers)","Manipur","IMPHAL WEST(Deputy Commissioner Imphal West MPLADS_IDA)","Purchase of  ambulances","ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","Images","09-Feb-2026","4991644"
"5749","Normal/Others","WS/MP18076/2024-2025/161262-Construction of community centers and community halls","Karnataka","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","Construction of community centers and community halls, Sri Ranganatha Swamy Tigala Jananga Seva Samithi Charitable Trust, Bajane Mane Road, Hosapete, Magadi Town & Taluk Ramanagara District, Karnataka State.","DR C N MANJUNATH","BANGALORE RURAL","Images","12-Dec-2025","500000"
"5750","Normal/Others","WS/MP859/2024-2025/152788-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF CONCRETE AT  KAMARPARA, NT ROAD BYLANE, WARD NO – 15 UNDER  BAIDYABATI MUNICIPALITY, HOOGHLY","Kalyan Banerjee","SREERAMPUR","Images","17-Apr-2025","483451"
"5751","Normal/Others","WS/MP859/2024-2025/152789-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF CONCRETE ROAD ATBANIBANERJEE LANE WARD NO- 16 UNDER  BAIDYABATI MUNICIPALITY, HOOGHLY","Kalyan Banerjee","SREERAMPUR","Images","09-Jun-2025","483469"
"5752","Normal/Others","WS/MP18109/2024-2025/150201-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARIMATI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5753","Normal/Others","WS/MP18109/2024-2025/150173-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AMILAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","19-Apr-2025","259942"
"5754","Normal/Others","WS/MP18109/2024-2025/150172-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AKAURI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","Images","11-Sep-2025","259942"
"5755","Normal/Others","WS/MP18109/2024-2025/150171-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AHIRANTOLA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5756","Normal/Others","WS/MP18109/2024-2025/150170-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AGDAL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5757","Repair and Renovation","WS/MP18109/2024-2025/150174-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAGHWAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5758","Normal/Others","WS/MP18109/2024-2025/150176-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BOKARO BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5759","Normal/Others","WS/MP18109/2024-2025/150178-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHANDREH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5760","Normal/Others","WS/MP18109/2024-2025/150180-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GUJRED BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5761","Normal/Others","WS/MP18109/2024-2025/150175-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BHAINSRAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5762","Normal/Others","WS/MP18109/2024-2025/150179-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHORGADI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5763","Normal/Others","WS/MP18109/2024-2025/150181-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","HANUMANGARH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5764","Normal/Others","WS/MP18109/2024-2025/150185-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KANDHWAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5765","Normal/Others","WS/MP18109/2024-2025/150184-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JHALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5766","Normal/Others","WS/MP18109/2024-2025/150188-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KHAIRA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5767","Normal/Others","WS/MP18109/2024-2025/150182-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JAMUNIHA NO 02 BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5768","Normal/Others","WS/MP18109/2024-2025/150186-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KAPURI BEDAULIYAN BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","11-Sep-2025","259942"
"5769","Normal/Others","WS/MP18109/2024-2025/150183-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JHAGRI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5770","Normal/Others","WS/MP18109/2024-2025/150187-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARAUDIYA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5771","Normal/Others","WS/MP18109/2024-2025/150193-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAHARI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5772","Normal/Others","WS/MP18109/2024-2025/150196-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHORAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5773","Normal/Others","WS/MP18109/2024-2025/150189-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUSHMAHAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5774","Normal/Others","WS/MP18109/2024-2025/150195-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BELAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5775","Normal/Others","WS/MP18109/2024-2025/150194-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BARBANDHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5776","Normal/Others","WS/MP18109/2024-2025/150191-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AMARPUR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5777","Normal/Others","WS/MP18109/2024-2025/150190-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MANKISAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5778","Normal/Others","WS/MP18109/2024-2025/150192-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAGHOR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5779","Normal/Others","WS/MP18109/2024-2025/150202-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KHORI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5780","Normal/Others","WS/MP18109/2024-2025/150198-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DOL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5781","Normal/Others","WS/MP18109/2024-2025/150197-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DAMAK BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5782","Normal/Others","WS/MP18109/2024-2025/150199-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GODAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5783","Normal/Others","WS/MP18109/2024-2025/150200-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JANAKPUR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5784","Normal/Others","WS/MP18109/2024-2025/150203-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARAUNDI KALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5785","Normal/Others","WS/MP18109/2024-2025/150205-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUCHWAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5786","Normal/Others","WS/MP18109/2024-2025/150208-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","PAMARIYA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5787","Normal/Others","WS/MP18109/2024-2025/150207-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","NAKJHAR KALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5788","Normal/Others","WS/MP18109/2024-2025/150206-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MARSARHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5789","Normal/Others","WS/MP18109/2024-2025/150204-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUBRI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5790","Normal/Others","WS/MP18109/2024-2025/150209-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","RAMDIH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","N/A","08-Nov-2025","259942"
"5791","Normal/Others","WS/MP814/2025-2026/177876-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","construction of c.c. road from ashok kr house towards chandrapal house (95mtrs) by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","14-Nov-2025","742368"
"5792","Normal/Others","WS/MP814/2025-2026/177875-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","construction of c.c. road from mahipal house to rajan singh house (75mtrs) by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","14-Nov-2025","519889"
"5793","Normal/Others","WS/MP814/2025-2026/177874-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","contruction of c.c. road in shikarpur vill bohich from harishankar house toward alijan khan house by PCCD(61mtr)","Bhola Singh","BULANDSHAHR(SC)","Images","14-Nov-2025","245156"
"5794","Normal/Others","WS/MP814/2025-2026/178549-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","construction of c.c. road from dharam singh towards khamali house via ranno house by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","20-Sep-2025","1974632"
"5795","Normal/Others","WS/MP814/2025-2026/178550-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","construction of c.c. road from ramkishore lodhi house to rajendra singh lodhi house by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","14-Nov-2025","1771490"
"5796","Normal/Others","WS/MP814/2025-2026/178561-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","in mali ki madaiya const. of c.c. road from bhagvir mani house to kishan choudhary house by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","14-Nov-2025","1014018"
"5797","Normal/Others","WS/MP814/2025-2026/178559-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","construction of c.c. road from rampal singh house toward devender house by PCCD","Bhola Singh","BULANDSHAHR(SC)","Images","16-Apr-2026","1307965"
